Site,CowTagID,LoggerID,logger_type,Date_launched,Time_launched,Date_retrieved,Time_retrieved,Notes
La Source,11,321,CT,10/23/23,,,,
La Source,10,353,CT,10/23/23,,,,
La Source,8,325,CT,10/23/23,,,,
La Source,12,5982,pendent,10/23/23,,,,
La Source,3,5983,pendent,10/23/23,,,,
La Source,1,7872,pendent,10/23/23,,,,
La Source,2,320,CT,10/23/23,,,,
La Source,4,323,CT,10/23/23,,,,
La Source,6,318,CT,10/23/23,,,,
La Source,5,335,CT,10/23/23,,,,
La Source,5,100,WL,10/24/23,,,,
La Source,7,4030,temp,10/23/23,,,,
La Source,9,4041,temp,10/23/23,,,,
Nordhoff,16,332,CT,10/23/23,,,,
Nordhoff,17,870,WL,10/24/23,,,,
Nordhoff,17,351,CT,10/23/23,,,,
Nordhoff,23,349,CT,10/23/23,,,,
Nordhoff,20,350,CT,10/23/23,,,,
Nordhoff,18,344,CT,10/23/23,,,,
Nordhoff,14,338,CT,10/23/23,,,,
Nordhoff,15,6642,temp,10/23/23,,,,
Nordhoff,19,4034,temp,10/23/23,,,,
Nordhoff,21,6642,temp,10/23/23,,,,
Nordhoff,22,4035,temp,10/23/23,,,,
Nordhoff,13,2981,pendent,10/23/23,,,,
Nordhoff,24,2980,pendent,10/23/23,,,,
Pointe de Pesche,44,343,CT,10/25/23,,,,
Pointe de Pesche,43,327,CT,10/25/23,,,,
Pointe de Pesche,52,515,CT,10/25/23,,,,
Pointe de Pesche,45,*NEED THIS*,temp,10/25/23,,,,
Pointe de Pesche,50,4028,temp,10/25/23,,,,
Pointe de Pesche,47,9657,temp,10/25/23,,,,
Pointe de Pesche,42,324,CT,10/25/23,,,,
Pointe de Pesche,49,330,CT,10/25/23,,,,
Pointe de Pesche,46,738,CT,10/25/23,,,,
Pointe de Pesche,53,5987,pendent,10/25/23,,,,
Pointe de Pesche,48,5984,pendent,10/25/23,,,,
Pointe de Pesche,51,2072,pendent,10/25/23,,,,
Pointe de Pesche,41,347,CT,10/25/23,,,,
Pointe de Pesche,41,872,WL,10/25/23,,,,
