Site,CowTagID,LoggerID,logger_type,Date_launched,Time_launched,Date_retrieved,Time_retrieved,Notes
La Source,1,353,CT,10/23/23,,,,
La Source,2,320,CT,10/23/23,,,,
La Source,3,321,CT,10/23/23,,,,
La Source,4,323,CT,10/23/23,,,,
La Source,5,335,CT,10/23/23,,,,
La Source,6,318,CT,10/23/23,,,,
La Source,7,325,CT,10/23/23,,,,
La Source,8,4041,temp,10/23/23,,,,
La Source,9,4030,temp,10/23/23,,,,
La Source,10,7872,pendent,10/23/23,,,,
La Source,11,5983,pendent,10/23/23,,,,
La Source,12,5982,pendent,10/23/23,,,,
Nordhoff,13,349,CT,10/23/23,,,,
Nordhoff,14,338,CT,10/23/23,,,,
Nordhoff,15,350,CT,10/23/23,,,,
Nordhoff,16,332,CT,10/23/23,,,,
Nordhoff,17,351,CT,10/23/23,,,,
Nordhoff,18,344,CT,10/23/23,,,,
Nordhoff,19,4034,temp,10/23/23,,,,
Nordhoff,20,6642,temp,10/23/23,,,,
Nordhoff,21,6645,temp,10/23/23,,,,
Nordhoff,22,4035,temp,10/23/23,,,,
Nordhoff,23,2981,pendent,10/23/23,,,,
Nordhoff,24,2980,pendent,10/23/23,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
